# Fictitious demo data for Microsoft 365 Copilot training. Not real customer, associate, vendor, or financial data.
Date,Channel,Region,Store Format,Customer Segment,Topic,Sentiment,Feedback Text,Resolution Status,Impact Area,Recommended Follow-Up
2026-04-01,Call Center,Southeast,Pro Center,Pro,Product availability,Negative,Drove 20 minutes and the item showed in stock but wasn't on the shelf.,Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-04-02,Online,Pacific Northwest,Metro,DIY,Delivery,Negative,Appliance delivery was a full day late with no update.,Escalated,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-03,Online,Pacific Northwest,Flagship,DIY,Mobile app / online order flow,Neutral,App works but search results are hit or miss.,In Progress,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-04-06,Online,South Central,Flagship,Services,Order pickup (BOPIS),Negative,Waited 25 minutes at the pickup counter on Saturday.,In Progress,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-04-06,Survey,Pacific Northwest,Standard,Pro,Product availability,Neutral,"Found most of what I needed, one item was out.",Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-04-07,Mobile App,South Central,Standard,First-time,Delivery,Negative,Delivery window was 8am-5pm and they came at 6:30pm.,Open,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-10,Online,Mountain West,Flagship,Services,Mobile app / online order flow,Negative,App kept logging me out during checkout.,Escalated,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-04-13,Survey,Southeast,Standard,Pro,Delivery,Negative,Appliance delivery was a full day late with no update.,Open,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-14,In-Store,Midwest,Standard,First-time,Installation/services,Positive,Flooring installation was flawless and right on schedule.,In Progress,Installation Services,Share positive feedback with store team; no action needed
2026-04-19,Call Center,Northeast,Pro Center,Pro,Order pickup (BOPIS),Negative,Waited 25 minutes at the pickup counter on Saturday.,Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-04-19,Online,Midwest,Flagship,DIY,Mobile app / online order flow,Negative,Couldn't apply my Pro discount in the mobile app.,Open,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-04-20,In-Store,Southeast,Metro,Services,Installation/services,Neutral,Install was fine but the scheduling window was too wide.,In Progress,Installation Services,Improve install scheduling and installer communication
2026-04-20,Pro Desk,South Central,Flagship,Services,Installation/services,Negative,The installer no-showed and I had to take another day off.,Escalated,Installation Services,Improve install scheduling and installer communication
2026-04-22,Pro Desk,South Central,Flagship,Services,Order pickup (BOPIS),Positive,"Curbside pickup worked perfectly, in and out in five minutes.",Resolved,BOPIS / Fulfillment,Share positive feedback with store team; no action needed
2026-04-23,Online,Northeast,Flagship,First-time,Delivery,Negative,"No tracking on my delivery, had to call three times.",Escalated,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-24,Mobile App,Northeast,Flagship,DIY,Delivery,Positive,Delivery team was on time and carefully placed everything.,Resolved,Delivery / Logistics,Share positive feedback with store team; no action needed
2026-04-27,Call Center,Midwest,Flagship,First-time,Order pickup (BOPIS),Neutral,"Order was ready, though signage for pickup was unclear.",Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-04-27,Online,Midwest,Standard,Services,Installation/services,Negative,Countertop install was rescheduled twice with no notice.,Escalated,Installation Services,Improve install scheduling and installer communication
2026-04-27,Survey,South Central,Flagship,Services,Associate helpfulness,Neutral,Staff were friendly but the store felt understaffed.,Resolved,Associate / Service,Recognize strong associates; coach coverage on busy aisles
2026-04-28,Call Center,Southeast,Standard,First-time,Associate helpfulness,Positive,Knowledgeable staff in electrical saved me a second trip.,In Progress,Associate / Service,Share positive feedback with store team; no action needed
2026-04-29,Online,South Central,Flagship,DIY,Returns,Negative,Was told I couldn't return the blinds without the original box.,Escalated,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-04-30,Online,Northeast,Pro Center,Services,Mobile app / online order flow,Positive,Smooth online checkout and clear order confirmation.,Resolved,Digital / App,Share positive feedback with store team; no action needed
2026-04-30,Online,Southeast,Pro Center,Services,Mobile app / online order flow,Positive,The app made it easy to find aisle locations in the store.,Resolved,Digital / App,Share positive feedback with store team; no action needed
2026-05-01,Online,South Central,Metro,DIY,Returns,Negative,Was told I couldn't return the blinds without the original box.,In Progress,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-05-02,Survey,Mountain West,Standard,First-time,Installation/services,Positive,Flooring installation was flawless and right on schedule.,In Progress,Installation Services,Share positive feedback with store team; no action needed
2026-05-03,Call Center,South Central,Flagship,First-time,Product availability,Neutral,Availability was okay but a couple of sizes were missing.,Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-05-04,Online,Pacific Northwest,Metro,Pro,Order pickup (BOPIS),Negative,Waited 25 minutes at the pickup counter on Saturday.,Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-05-05,Survey,Mountain West,Flagship,Pro,Order pickup (BOPIS),Negative,Pickup line was backed up and only one associate was working.,Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-05-05,In-Store,South Central,Flagship,Pro,Pro customer experience,Negative,Bulk quote took forever and pricing was inconsistent.,Open,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-05-06,Call Center,Midwest,Pro Center,DIY,Product availability,Negative,Garden annuals were picked over and mostly sold out by Saturday.,Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-05-07,Mobile App,Southeast,Metro,First-time,Delivery,Negative,"No tracking on my delivery, had to call three times.",Escalated,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-05-08,In-Store,Northeast,Flagship,Services,Order pickup (BOPIS),Negative,Nobody was staffing the BOPIS desk when I arrived.,Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-05-10,Survey,Midwest,Pro Center,First-time,Order pickup (BOPIS),Negative,My online order wasn't ready even though I got the ready email.,Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-05-10,Pro Desk,Midwest,Standard,Pro,Pro customer experience,Neutral,"Pro Desk was fine, a bit slow during the morning rush.",Escalated,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-05-12,Call Center,Pacific Northwest,Pro Center,Pro,Pro customer experience,Neutral,"Pro Desk was fine, a bit slow during the morning rush.",Resolved,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-05-19,Mobile App,Mountain West,Metro,Services,Order pickup (BOPIS),Neutral,"Order was ready, though signage for pickup was unclear.",Open,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-05-22,In-Store,Midwest,Metro,Pro,Delivery,Neutral,Delivery was fine but the driver couldn't reach the backyard.,Open,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-05-22,In-Store,Midwest,Metro,Services,Associate helpfulness,Neutral,Staff were friendly but the store felt understaffed.,Open,Associate / Service,Recognize strong associates; coach coverage on busy aisles
2026-05-23,Call Center,Northeast,Pro Center,DIY,Delivery,Negative,Appliance delivery was a full day late with no update.,In Progress,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-05-24,In-Store,Southeast,Metro,First-time,Order pickup (BOPIS),Negative,Nobody was staffing the BOPIS desk when I arrived.,Open,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-05-25,Online,Mountain West,Standard,DIY,Mobile app / online order flow,Positive,The app made it easy to find aisle locations in the store.,Resolved,Digital / App,Share positive feedback with store team; no action needed
2026-05-25,Online,Midwest,Metro,First-time,Product availability,Negative,Third visit in a row with no pressure-treated lumber available.,Escalated,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-05-26,Pro Desk,Pacific Northwest,Pro Center,Services,Delivery,Negative,Appliance delivery was a full day late with no update.,Escalated,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-05-28,Online,South Central,Standard,First-time,Associate helpfulness,Positive,Super helpful team member helped me pick the right paint.,Resolved,Associate / Service,Share positive feedback with store team; no action needed
2026-05-28,Online,Northeast,Pro Center,First-time,Installation/services,Neutral,Install was fine but the scheduling window was too wide.,In Progress,Installation Services,Improve install scheduling and installer communication
2026-05-29,Pro Desk,Pacific Northwest,Metro,First-time,Associate helpfulness,Negative,Couldn't find anyone to help in the plumbing aisle.,In Progress,Associate / Service,Recognize strong associates; coach coverage on busy aisles
2026-05-30,Pro Desk,Pacific Northwest,Pro Center,First-time,Delivery,Positive,Delivery team was on time and carefully placed everything.,Resolved,Delivery / Logistics,Share positive feedback with store team; no action needed
2026-05-30,Call Center,Northeast,Metro,Pro,Pro customer experience,Positive,Pro Desk team knows my account and gets me out fast.,Resolved,Pro Desk,Share positive feedback with store team; no action needed
2026-05-31,Online,Mountain West,Pro Center,First-time,Returns,Negative,Was told I couldn't return the blinds without the original box.,Resolved,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-05-31,Call Center,Southeast,Standard,First-time,Associate helpfulness,Positive,"An associate walked me through my whole deck project, amazing.",Resolved,Associate / Service,Share positive feedback with store team; no action needed
2026-06-01,Call Center,Mountain West,Flagship,Pro,Pro customer experience,Negative,As a contractor I expect a faster checkout lane at the Pro Desk.,Open,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-06-03,Mobile App,Northeast,Flagship,Pro,Mobile app / online order flow,Positive,Smooth online checkout and clear order confirmation.,Resolved,Digital / App,Share positive feedback with store team; no action needed
2026-06-04,Survey,Pacific Northwest,Standard,Pro,Product availability,Negative,Drove 20 minutes and the item showed in stock but wasn't on the shelf.,Open,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-04,In-Store,Northeast,Standard,Services,Product availability,Negative,Shelves in the paint aisle were bare on primer.,In Progress,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-05,Survey,South Central,Metro,First-time,Delivery,Negative,Delivery window was 8am-5pm and they came at 6:30pm.,Resolved,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-06-09,In-Store,Mountain West,Flagship,First-time,Order pickup (BOPIS),Positive,Pickup was fast and the associate brought it right out.,In Progress,BOPIS / Fulfillment,Share positive feedback with store team; no action needed
2026-06-09,Mobile App,Northeast,Pro Center,Services,Returns,Positive,"Easy no-hassle return on my extra paint, in and out quickly.",Resolved,Returns / Service,Share positive feedback with store team; no action needed
2026-06-09,In-Store,Pacific Northwest,Standard,Pro,Pro customer experience,Neutral,"Pro Desk was fine, a bit slow during the morning rush.",Resolved,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-06-11,Pro Desk,Northeast,Standard,First-time,Product availability,Negative,Garden annuals were picked over and mostly sold out by Saturday.,Escalated,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-14,Call Center,Midwest,Pro Center,DIY,Returns,Negative,Refund for my appliance return still hasn't posted.,Escalated,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-06-14,Mobile App,Midwest,Flagship,Pro,Product availability,Negative,Drove 20 minutes and the item showed in stock but wasn't on the shelf.,Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-20,Mobile App,Midwest,Standard,First-time,Mobile app / online order flow,Negative,Online inventory said in stock but the store had none.,In Progress,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-06-20,In-Store,Mountain West,Flagship,Pro,Pro customer experience,Neutral,Decent Pro service but the loyalty perks could be better.,Resolved,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-06-20,In-Store,South Central,Metro,First-time,Order pickup (BOPIS),Positive,"Curbside pickup worked perfectly, in and out in five minutes.",Resolved,BOPIS / Fulfillment,Share positive feedback with store team; no action needed
2026-06-20,Pro Desk,Midwest,Standard,Pro,Pro customer experience,Negative,As a contractor I expect a faster checkout lane at the Pro Desk.,Resolved,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-06-21,In-Store,Pacific Northwest,Standard,Pro,Associate helpfulness,Positive,Knowledgeable staff in electrical saved me a second trip.,Resolved,Associate / Service,Share positive feedback with store team; no action needed
2026-06-22,Pro Desk,Mountain West,Metro,DIY,Delivery,Neutral,"Delivery arrived, just outside the promised window.",In Progress,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-06-22,Call Center,Mountain West,Metro,DIY,Product availability,Negative,Shelves in the paint aisle were bare on primer.,Escalated,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-23,Pro Desk,Mountain West,Flagship,DIY,Associate helpfulness,Positive,Knowledgeable staff in electrical saved me a second trip.,Resolved,Associate / Service,Share positive feedback with store team; no action needed
2026-06-23,Pro Desk,Southeast,Pro Center,DIY,Returns,Negative,Refund for my appliance return still hasn't posted.,Resolved,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-06-25,In-Store,Pacific Northwest,Flagship,First-time,Associate helpfulness,Negative,Couldn't find anyone to help in the plumbing aisle.,Open,Associate / Service,Recognize strong associates; coach coverage on busy aisles
2026-06-25,Pro Desk,Southeast,Pro Center,Pro,Pro customer experience,Negative,My Pro account order was delayed and no one called me back.,In Progress,Pro Desk,Reduce Pro Desk wait times; expand Pro loyalty and bulk quoting
2026-06-25,Call Center,Southeast,Flagship,First-time,Returns,Neutral,Return went through but the policy wasn't clearly explained.,Resolved,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-06-28,Survey,Mountain West,Pro Center,First-time,Product availability,Neutral,"Found most of what I needed, one item was out.",Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-28,Pro Desk,Southeast,Flagship,First-time,Installation/services,Negative,Measurement appointment for my kitchen was a week late.,In Progress,Installation Services,Improve install scheduling and installer communication
2026-06-28,Pro Desk,Midwest,Standard,Pro,Product availability,Neutral,"Found most of what I needed, one item was out.",Open,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-06-28,Pro Desk,South Central,Pro Center,Pro,Returns,Neutral,"Returns desk was okay, just slow at midday.",Resolved,Returns / Service,Streamline returns flow; review high-return SKUs with vendors
2026-06-30,Pro Desk,Southeast,Flagship,Services,Installation/services,Negative,The installer no-showed and I had to take another day off.,In Progress,Installation Services,Improve install scheduling and installer communication
