Source Site,Page/Section,Title,Prompt/Description,Category/Tags,Platform(s),Duration,Source URL
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Multi-Agent Strategic Teardown,"Researcher: pull the most credible public view on the U.S. mineral SPF face category — leaders, growth, retailer signals. Analyst: pull Edgewell sun-care performance from our 10-K and compare to the relevant peer segments at Energizer, Church & Dwight, and Kenvue. Bring both into one Notebook. Give me a two-page teardown: where we're winning, where we're losing, the single strategic move I'd argue for to the board, and the risk that move carries. Cite every number.",Executives; Strategy; Multi-agent,Researcher Agent; Analyst Agent; Notebook,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Meeting Decisions & Owners Block,"From this meeting, generate the decisions-and-owners block I can post to the chat right now: decisions made — specific commitments, not themes; action items — named owner, specific next step, due date; open questions we're carrying forward; the one decision we explicitly chose not to make today and when we'll revisit it.",Executives; Meetings,Copilot in Teams,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Cowork: Draft & Schedule Follow-Up Emails,"Draft the follow-up to each meeting owner with their specific commitment, schedule it to send at 8 AM tomorrow, and flag any that touch a customer.",Executives; Cowork; Delegation,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Cowork: Assemble Board Deck,Assemble the board deck from the Banana Boat teardown and this morning's brand review. Use Edgewell brand standards. Stage it in my SharePoint.,Executives; Cowork; Board,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Cowork: Schedule Leadership Kickoff,"Get the 90-day plan kickoff on calendars this week — Brand President, FP&A lead, Head of Sales, CMO. 45 minutes. Use the brief as the agenda.",Executives; Cowork; Scheduling,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Pages 101: Draft Working Brief,"Based on what you know about my role at Edgewell, my brands, and what's happening in the personal care category, draft me a working brief titled ""Banana Boat — what we change in the next 90 days."" Structure it as: one-sentence point of view; three things we know are true; three things we think are true but should validate; the move I'd argue for; the open questions I need brand, sales, insights, and FP&A to answer before we commit. Keep it editable — short sentences, no flourish.",Executives; Cowork; Pages,Copilot Chat; Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Pages 101: Co-Edit Synthesis,"Look at the comments and edits my teammates have made in the last 15 minutes. Summarize where we agree, where we disagree, and the single most substantive challenge that was raised. Then propose a revised paragraph 4 (the move) that incorporates the strongest pushback. Mark anything you changed so we can see the diff.",Executives; Cowork; Pages; Co-editing,Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Multi-Agent Working Session: Orchestrate,"For the next 10 minutes, I want to work this Page with my teammate and with two agents helping. Researcher: pull the most current public view on the U.S. mineral SPF face category — growth, leaders (Supergoop, EltaMD, Sun Bum mineral face, Neutrogena Sheer Zinc), retailer signals. Cite. Analyst: separately, pull Edgewell's Banana Boat face-SPF revenue, units, and ad spend from any internal files in our tenant — also pull what's publicly disclosed for Edgewell sun-care in our most recent 10-K. Coordinate so you're not duplicating work. Put your findings into the Page under a new section called ""Evidence.""",Executives; Multi-agent; Research; Analysis,Copilot Pages; Analyst Agent; Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Multi-Agent Working Session: Direct the Room,"My teammate has just commented that the Walmart relationship is the binding constraint, not the consumer demand. Researcher — find any public evidence about Walmart's SPF planogram changes, mineral SPF buyer rotation, or pricing dynamics in mass sun care. Analyst — find any internal Edgewell Walmart JBP files or 4-blocker notes that touch sun care. Both: put findings in a new Page section called ""Walmart channel reality."" Then I'll synthesize.",Executives; Multi-agent; Retail,Copilot Pages; Analyst Agent; Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Multi-Agent Working Session: Close & Summarize,"Together with my teammate, summarize this Page as it stands now in 6 bullets: what we now believe; what changed in our thinking in the last 15 minutes; the move we're going to argue for; the strongest single piece of evidence supporting it; the strongest pushback we expect from FP&A and our response; the three open questions we still need to answer before we commit. Highlight which agent contributed which evidence so we can revisit sources.",Executives; Multi-agent; Summarization,Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Brand Agent: Instructions Setup,"You are the Schick Brand Agent. You answer questions only from the files in this SharePoint site, which contains Schick's growth plans, JBP decks, scan-data reports, agency briefs, S&OP recaps, and competitive trackers from the last 24 months. Behavior rules: Always cite the specific file and page/slide. If a question can be answered from older content (>12 months), flag that it may be stale. When asked about competitors (Gillette, Harry's, BIC), only use internal files plus quoted public sources — do not invent. When asked about financials, ground in the brand P&L and 4-blockers, never estimate. If a question can't be answered from site content, say so and suggest who likely has the answer. Use Edgewell terminology; treat ""shave system"" and ""disposable"" as distinct categories. Audience: Schick brand team, sales partners, insights team, executives.",Executives; Agent Builder; SharePoint Agent,SharePoint Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Brand Agent: Starter Prompts Setup,"Set the following five starter prompts on this agent so they appear as suggested questions when anyone opens it: 1. What's Schick's current point of view on private-label competition in disposables? 2. Summarize our most recent JBP commitments with Walmart for Schick. 3. What did our last consumer research say about Gen-Z and wet shave? 4. Show me Schick's YTD performance vs. plan, and the biggest gap. 5. What changed in the last 60 days that I should know about?",Executives; Agent Builder; SharePoint Agent,SharePoint Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Brand Agent: New-Hire Test Questions,Pretend I'm a new brand manager who started Monday on the Schick team. I have three questions: what is the brand's current strategic position in one paragraph; who are the three most important retailers and what is the open issue with each; what consumer insight from the last year has most shaped how we're going to market this year. Cite everything.,Executives; Agent Builder; SharePoint Agent,SharePoint Agent; Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Copilot Studio: Agent Product Brief,"Help me write a product brief for a custom Copilot Studio agent at Edgewell. The process I want to agentify is: [name the process — e.g., Walmart JBP Prep]. Cover: WHO uses this agent and what role they're in; WHAT problem the agent solves in one sentence, with the alternative-today (current pain) named; WHAT inputs the agent asks for (specific fields); WHAT data sources it draws from (name actual SharePoint sites, files, systems); WHAT artifact it produces; FAILURE MODES — three ways this agent could be wrong, and how we'd detect; SUCCESS METRIC — what would make us say in 90 days ""this was worth it."" Keep it to one page. Executive product-owner tone.",Executives; Agent Builder; Copilot Studio,Copilot Chat; Copilot Studio,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Copilot Studio: JBP Prep Agent Instructions,"You are the JBP Prep Agent for Edgewell sales leads. Your job is to walk a sales lead through preparing for a Joint Business Plan meeting with a retailer (Walmart, Target, Costco, Amazon, CVS, Walgreens, Kroger, Club, or international). When a user starts, ask: which retailer is the JBP for; which brands are in scope; the JBP date; what they remember being committed to in the last JBP. Then: pull the most recent JBP deck, last year's commitments, current YTD performance, open chargebacks, and category competitive context; produce a structured prep document with sections — ""Where we stand,"" ""What we owe them,"" ""What we want from them,"" ""Tension points,"" ""Open data we still need""; ask three sharpening questions before finalizing; output the final prep doc to a new Page in the user's OneDrive titled ""[Retailer] JBP Prep — [Date]."" Tone: efficient, retailer-savvy, never breezy. Never estimate if a number's source can't be found.",Executives; Agent Builder; Copilot Studio; Sales,Copilot Studio,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Copilot Studio: Pressure-Test Agent Design,Critique this Copilot Studio agent design from the perspective of a senior Edgewell sales lead who'd actually use it. Where is the conversation flow weak? Where is the prep doc structure likely to feel useless? What inputs am I asking for that don't matter? What inputs am I NOT asking for that I should? What's the one change that would make the difference between this getting used and this getting ignored after week 2?,Executives; Agent Builder; Copilot Studio,Copilot Chat; Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Capstone: Generate 90-Day Plan Spine,"The board endorsed our recommendation: [paste the one-sentence recommendation from your Part I D3 brief]. Generate the spine of a 90-day execution plan to deliver against it. Structure: Section 1 — the single goal we're driving to (one sentence, with the success metric). Section 2 — the three workstreams that get us there, each with desired end-state at day 90, named owner, first three milestones with dates, and the one risk that would derail it. Section 3 — weekly operating rhythm: who meets, when, what they're accountable for. Section 4 — the leading indicators we'll watch (not lagging — leading). Section 5 — decisions we're explicitly NOT making now, and when we'll revisit. Output as the structure of the Page itself, with placeholders my team will fill in.",Executives; Strategy; Planning,Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Capstone: Orchestrate Multi-Role Working Session,"For the next 12 minutes, here is who owns what in this Page. ANALYST AGENT: take the success metric and leading indicators, pull baseline numbers from our brand P&L, propose three leading indicators with current values and 90-day targets, cite sources. BRAND AGENT: take the ""where we stand"" context — pull the most recent JBP commitments, current promo calendar, open chargebacks/recalls, and three biggest unresolved tensions with retail partners. RESEARCHER AGENT: take the ""external watchlist"" — three competitor moves to track in the next 90 days, with reasoning. BRAND PRESIDENT: fill in Workstream 1 (brand-side moves). FP&A LEAD: fill in Workstream 2 (financial commitments and gates). HEAD OF SALES: fill in Workstream 3 (retailer execution). CMO: write the one-sentence goal and pressure-test our success metric. Everyone work simultaneously. I'll synthesize at minute 12.",Executives; Multi-agent; Planning,Copilot Pages; Analyst Agent; Researcher Agent; SharePoint Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Capstone: Synthesize Plan Conflicts,"Synthesize across everything humans and agents have put into this Page in the last 12 minutes. Tell me: where the workstreams are mutually reinforcing — call out specific dependencies; where the workstreams contradict each other or compete for the same resource — name the conflict; which milestones have the same owner — flag any concentration risk; which leading indicators are most defensible vs. aspirational; the single thing this plan is implicitly assuming that, if untrue, breaks the whole thing. Be direct. The CFO will read this on Friday.",Executives; Strategy; Risk,Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Capstone: Self-Maintaining Plan Sections,"Set up two sections of this Page to refresh automatically every Monday morning. ""This week's read on the leading indicators"" — the Analyst Agent should pull the current value of each indicator, compare to plan, and flag anything off track in red with a 2-sentence interpretation. ""External watchlist update"" — the Researcher Agent should check for any new credible signal on the three competitor moves being tracked and post a 3-bullet update. Both should be timestamped and cite sources. Notify @[me] and @[brand president] when they refresh.",Executives; Automation; Multi-agent,Copilot Pages; Analyst Agent; Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Capstone: Generate Commitment Block,"In the final 2 minutes, produce the commitment block for the bottom of this Page. List, by named person: what they own at day 30; what they own at day 60; what they own at day 90. Make sure each entry is a specific verb (deliver, decide, commit, ship) not a vague verb (review, discuss, look into). Then add: ""We agreed not to revisit this plan until day 30 unless a leading indicator goes red.""",Executives; Planning; Accountability,Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Voice Catch-Up Briefing,"I just spent three days at our Springdale poultry plant and a beef facility, plus a buyer line review in Bentonville. Give me a verbal briefing in two minutes: what's the most urgent thing waiting for me, what decisions are blocked on me, and what one piece of good news I should know before the 7 AM ops sync. Keep it conversational, not a list.",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Voice Catch-Up Follow-Up,"Pause on that last point. Who exactly is asking for the decision, what's the dollar exposure or volume impact, and is a customer commitment or a plant restart waiting on me?",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Voice Catch-Up Closing (Ops Sync Prep),"Based on everything that came in while I was in plants and at the customer, what are the three themes I should walk into the Monday ops sync prepared to discuss across chicken, beef/pork, and prepared foods? Give me a one-sentence point of view for each.",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Outlook Mobile Thread Triage,"Summarize this thread in five bullets. Then tell me: what is the actual ask of me, what's the deadline, what's the volume or margin at stake, and is there a position the team has already converged on that I can either endorse or push back on?",Executives; Email Triage,Outlook Mobile; Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Teams Catch-Up After Travel,I've been off Teams for three days while in plants. Summarize my unread messages across all my chats and channels. Group them into: needs my decision (with dollar/volume impact if known); FYI from my direct reports; customer or supplier escalations; recognition or noise I can ignore.,Executives; Teams,Teams; Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: CEO / Senior Leader,"Summarize board, investor, and external-affairs communications from the past week. Highlight anything that needs a senior leader response before the next earnings prep or board call. Include any media mentions of Tyson Foods, our brands, or our peers (Pilgrim's, Cargill, JBS, Hormel).",Executives; CEO; Board,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: CFO / Finance Leader,"Pull together finance-related emails — highlight chicken, beef, and pork segment commentary, quarterly close updates, grain and energy hedging notes, and any tariff or trade discussions. Prioritize anything with a dollar amount, a covenant trigger, or a deadline attached.",Executives; Finance; CFO,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: Chief Customer / Sales Officer,"Catch me up on communications from top retail and food service customers — Walmart, Kroger, Costco, McDonald's, Chick-fil-A, Sysco, US Foods. Any promotional calendar changes, listing decisions, service complaints, or buyer feedback that needs my attention this week.",Executives; Sales,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: Chief Marketing / Brand Officer,"Summarize brand and consumer communications across Tyson, Jimmy Dean, Hillshire Farm, Ball Park, and Hillshire Reserve. Flag campaign performance, social sentiment shifts, retail merchandising issues, and any innovation gates that need my sign-off.",Executives; Marketing,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: COO / Operations Leader,"Summarize plant operations communications — production status, downtime events, yield variances, food safety holds, USDA inspection notes, and any labor or staffing escalations from the past three days across chicken, beef, pork, and prepared foods.",Executives; Operations,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: Supply Chain Leader,"Catch me up on live supply, grain procurement, cold-chain logistics, and DC throughput. Flag any carrier escalations, refrigerated capacity issues, or supplier risk events. Prioritize anything affecting customer fill rates this week.",Executives; Supply Chain,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Role Catch-Up: Chief People Officer,"Flag any team member, labor, safety, or community communications — plant safety incidents, pending labor negotiations, EHS metrics, plant town hall feedback, or community impact items that arrived in the last three days.",Executives; Human Resources,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Set Personal Context (Copilot Memory),"Remember this about me for all future conversations: I'm a senior leader at Tyson Foods. My segment is [Chicken/Beef/Pork/Prepared Foods/International]. My top customers are [list]. My direct reports include [list]. I have a weekly business review, a monthly operating review, and quarterly earnings prep on set schedules. When you draft for me, default to: direct, decision-first, no marketing fluff. Lead with the recommendation, then evidence, then risks. Use plain English a plant manager and a Wall Street analyst would both understand.",Executives; Personalization; Copilot Memory,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Set Stakeholder Map (Copilot Memory),"Also remember my stakeholder context: my CEO cares most about [top three priorities]; my CFO is focused on margin recovery in [segment]; our board is watching [strategic priority]; our top customer's category manager values [data, on-time delivery, joint business planning]. When I draft anything to these stakeholders, tailor the tone and depth to them by default.",Executives; Personalization; Copilot Memory,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Prompt Pattern: Brief Me,"Brief me on [topic] in 200 words or less. Tell me: what changed, why it matters to Tyson, what the team is recommending, and what decision I'll need to make. Cite the documents or emails you pulled from.",Executives; Prompt Pattern,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Prompt Pattern: Steelman Both Sides,My team is recommending [decision]. Steelman the case for it in 100 words and the case against it in 100 words. Then tell me what data I'd need to break the tie.,Executives; Prompt Pattern; Decision-Making,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Prompt Pattern: So-What,"Read this report/email/deck. Skip the summary — give me the three ""so-whats"" for my segment and one question I should be asking that nobody in the document is asking.",Executives; Prompt Pattern,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Prompt Pattern: Draft in My Voice,"Draft this in my voice: direct, no fluff, lead with the point, use plant-floor plain English. Three short paragraphs max. End with a clear ask or next step.",Executives; Prompt Pattern; Communication,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Prompt Pattern: Prep Me for the Room,"I have a meeting with [person/team] at [time]. Pull the last 60 days of email and Teams I have with them. Tell me: their top concern right now, what I committed to last time, what's outstanding, and the three questions they're most likely to ask me.",Executives; Prompt Pattern; Meeting Prep,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Analyst: Build the Margin Story,"You are an Analyst. Pull from the Prepared Foods segment files in my OneDrive and the last four quarterly close decks. Build me a margin bridge from Q3 last year to this quarter. Break it into: volume, mix (Jimmy Dean vs Hillshire Farm vs Ball Park vs Hillshire Reserve), price/promo, raw material (pork belly, pork trim, turkey), freight, labor, and plant productivity. Show me the three largest movers in dollars. Cite the source files for every line.",Executives; Finance; Analyst Agent,Analyst Agent,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Analyst: Margin Story Refinement,"Now write three sentences of CFO-grade narrative for the largest unfavorable mover, including what the team is doing about it in the next two quarters. Flag any assumptions you made and the data points I should personally double-check before this goes into the earnings prep deck.",Executives; Finance; Analyst Agent,Analyst Agent,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Researcher: Read the Market,"You are a Researcher. Pull the last 90 days of public commentary, earnings transcripts, and analyst notes on Hormel and Conagra Brands. I want: what they say their growth bets are in refrigerated and frozen prepared foods, where they say they're losing, and any pricing action they've announced. Then cross-reference with Tyson's last earnings call — where are they pointing and where are we pointing? Give me the three places we'd be wise to look harder.",Executives; Research; Competitive Intelligence,Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Researcher: Commodity Read,"Researcher: pull the latest USDA WASDE report, current CME live cattle, lean hog, and corn futures, and any major news on grain stocks or avian influenza in the last 30 days. Summarize the implications for Tyson's chicken, beef, and pork segments over the next two quarters in 200 words. End with ""the question this raises for our hedging strategy is…""",Executives; Research; Supply Chain,Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Excel: Build Customer Profitability Cube,"In this workbook of top-10 customer sales: build a view that shows each customer's volume, net price per lb, trade spend %, gross margin %, and YoY change for the last 8 quarters. Flag every customer where trade spend grew faster than volume. Then explain in plain English which two accounts are the biggest profitability risk and why.",Executives; Finance; Excel,Copilot in Excel,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Excel: Build CFO Headline Chart,"Now build a single chart that tells the story I'd put in front of my CFO in 30 seconds. Title it like a headline, not a label. Save the file and tell me exactly what changed so I can audit it.",Executives; Finance; Excel,Copilot in Excel,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Teams Recap: Customer JBP Meeting,"Recap the customer JBP meeting we just had. Give me: the buyer's top three concerns in their words; every commitment I made and to whom, with the date I said I'd deliver; any commitment the buyer made to us; the two unresolved items that need a follow-up call. Tone: factual, not promotional.",Executives; Sales; Meetings,Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
