Source Site,Page/Section,Title,Prompt/Description,Category/Tags,Platform(s),Duration,Source URL
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Draft Customer Follow-Up Email,"Draft a follow-up email to the buyer in my voice. Restate what we heard them say (so they know we listened), confirm the four commitments I made with dates, ask explicitly for the two things they committed to us, and propose a 30-minute mid-month check-in. Keep it under 200 words.",Executives; Sales; Communication,Copilot Chat; Outlook,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Internal Cascade to Account Team,"Now draft a Teams post for my account team channel: summarize the meeting in five bullets, assign each of my four commitments to the right function (supply chain, brand, innovation, finance), tag the owner, and ask them to confirm the date by end of day.",Executives; Sales; Teams,Teams,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Plant Town Hall Prep,"I'm doing a town hall at the [plant location] facility next week. Pull the last 90 days of plant performance data, safety incidents, and the most recent team member engagement survey results for that site. Draft me a 10-minute talk that: opens with thanks to specific shift teams, names the two performance wins, addresses the two honest concerns the survey raised, and ends with what we're going to do differently. Plain English. Plant-floor tone, not corporate.",Executives; Operations; Communication,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Executive Briefing: CEO Read-Out,"Draft a half-page brief for the CEO on this week in my segment. Three sections: Customer — what the top accounts told us and what we owe them; Operations — fill rate, yield, and safety vs. plan; Decisions I need from you. Use bullets, no adjectives. Cite where the data came from.",Executives; Briefing,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Agent Charter: Customer Health Agent,"Draft a one-page charter for the ""Customer Health Agent."" Cover: the business problem it solves; the data it needs and the systems it must connect to; what it does autonomously vs. what it escalates to a human; the metrics that prove it's working in 90 days; the risks and human-in-the-loop controls; who owns it. Use language a non-technical executive sponsor can approve.",Executives; Agent Builder; Governance,Copilot Chat; Copilot Studio,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Tyson Foods Executive Copilot Experience,Agent Prototype: Commodity Pulse Agent,"For the Commodity Pulse Agent: draft the exact daily prompt the agent should run, the sources it should pull from, the format of the morning brief (email vs. Teams post vs. mobile push), and three example outputs for chicken, beef, and pork segment leaders. Keep each output to 150 words.",Executives; Agent Builder; Automation,Copilot Chat; Copilot Studio,,https://emontes07.github.io/Learning/Instructions/Demos/21-Tyson-Executive-Copilot-Experience.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Voice Catch-Up Briefing,"I just landed after one week of travel visiting facilities and meeting with key customers. Give me a verbal briefing in two minutes: what's the most urgent thing waiting for me, what decisions are blocked on me, and what one piece of good news I should know before Monday. Keep it conversational, not a list.",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Voice Catch-Up Follow-Up,"Pause on that last point. Who exactly is asking for the decision, what's the deadline, and is anything on hold because I haven't responded?",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Voice Catch-Up Closing,"Based on everything that came in while I was traveling, what are the three themes I should walk into Monday's executive staff meeting prepared to discuss? Give me a one-sentence point of view for each.",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Outlook Mobile Thread Triage,"Summarize this thread in five bullets. Then tell me: what is the actual ask of me, what's the deadline, and is there a position the team has already converged on that I can either endorse or push back on?",Executives; Email Triage,Outlook Mobile,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Teams Catch-Up After Travel,"I've been off Teams for one week. Summarize my unread messages across all my chats. Group them into: needs my decision, FYI from my direct reports, congratulations or recognition I should respond to, noise I can ignore.",Executives; Teams,Teams Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Role Catch-Up: Executive / Senior Leader,Summarize board-related communications or investor inquiries from the past week. Highlight anything that needs a senior leader response before Monday's staff meeting. Include any media mentions of [your company] or key brands.,Executives; Board,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Role Catch-Up: Finance Leader,"Pull together finance-related emails — highlight budget approvals pending, quarterly close updates, or tariff discussions. Prioritize anything with a dollar amount or deadline attached.",Executives; Finance,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Role Catch-Up: Brand / Marketing Leader,"Catch me up on communications from retail partners and channel teams. Any promotional calendar changes, listing decisions, or buyer feedback that needs my attention this week.",Executives; Marketing,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Role Catch-Up: IT / Technology Leader,"Summarize IT-related communications — system incidents, security alerts, project milestone updates, and vendor escalations from the past week. Prioritize anything affecting production systems or user-facing services.",Executives; IT,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Role Catch-Up: Human Resources Leader,"Flag any HR, legal, or regulatory communications — pending contracts, compliance issues, employee relations matters, or organizational changes that arrived in the last week.",Executives; Human Resources,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Role Catch-Up: Operations / Supply Chain Leader,"Summarize communications about manufacturing operations and any supplier escalations. Include production status updates, logistics delays, and quality incidents from the past week.",Executives; Operations; Supply Chain,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: All Roles Base Template,"I am a senior executive at [your company]. Our portfolio includes multiple product lines across several categories. Our top channels include major retailers and e-commerce. Always: draft email replies in a warm but executive tone — direct, no filler, no exclamation points; when summarizing, lead with the decision needed, not the chronology; if you reference data, name the source thread or document; prefer brevity — three sentences over five — unless I ask for depth; if a reply would commit [your company] to a number, a date, or a public statement, flag it for me before sending.",Executives; Personalization; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: Executive / Senior Leader,"I am a senior executive at [your company]. I manage a portfolio of brands across multiple categories. My priorities are organic growth, margin expansion, and portfolio simplification. When drafting communications, use a strategic but approachable tone. Always flag anything that could be material to investors. I prefer one-page summaries with a clear recommendation at the top.",Executives; Personalization; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: Finance Leader,"I am the finance leader at [your company]. My focus areas are EBITDA margin improvement, working capital optimization, tariff impact analysis, and capital allocation across our brand portfolio. When summarizing, always include the financial impact. Use precise numbers, not ranges. Flag any commitment that creates a liability or changes our guidance. Format financial data in tables when possible.",Executives; Finance; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: Brand / Marketing Leader,"I lead brand and marketing at [your company]. I own the P&L for key markets. My key retail partners include major national retailers and e-commerce platforms. When summarizing, focus on sell-through data, promotional ROI, and competitive shelf dynamics. I care about category share, not just brand share. Be direct — I want recommendations, not options.",Executives; Marketing; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: IT / Technology Leader,"I lead IT and technology at [your company]. My priorities are digital transformation, cybersecurity posture, ERP modernization, and enabling AI adoption across the organization. When summarizing, include system impact, timeline, and risk level. Flag security incidents and compliance gaps immediately. Format project status in tables with RAG indicators.",Executives; IT; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: Human Resources Leader,"I lead HR and people operations at [your company]. I oversee talent acquisition, employee relations, compliance, and organizational development. When drafting, be precise on legal language — do not paraphrase contractual terms. Flag regulatory risks, employment law issues, and anything requiring board approval. Keep a professional, measured tone. Always note jurisdiction when legal issues are geography-specific.",Executives; Human Resources; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Custom Instructions: Operations / Supply Chain Leader,"I lead global supply chain at [your company]. Our manufacturing spans multiple facilities across several regions. Key concerns: manufacturing efficiency, supplier diversification, logistics costs, and inventory optimization. When summarizing, include facility impact, SKU-level detail, and timeline. Always flag single-source supplier risks.",Executives; Operations; Supply Chain; Custom Instructions,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Prompt Coach: Generate Role-Relevant Prompts,I am the [INSERT ROLE] at [your company]. I am a newer AI user. Please generate 5 Copilot prompts that would be highly relevant to my role at a consumer products company with multiple brands. Make each prompt specific enough that I can paste it and get a useful answer immediately.,Executives; Prompt Coaching,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Inbox Prioritization,"Look at my inbox from the last 7 days. Group the unread items into: Decisions needed from me — include who's asking and by when; FYI only — important context but no action required; Delegatable — things my team can handle with a one-line forward from me. For group 1, draft a short reply for each.",Executives; Email Triage,Copilot Chat; Outlook,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Email Thread Summary,"Summarize this email thread. Lead with the decision or ask — not the history. Tell me who's aligned, who's pushing back, and what I need to do next.",Executives; Email Triage,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Prep,"Prepare me for my next meeting. Summarize the agenda, list the key participants and their likely positions, and surface any recent emails or documents relevant to the topics we'll discuss.",Executives; Meeting Prep,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Action Items Across Channels,"What action items have been assigned to me in the last week across emails, Teams messages, and meeting recaps? List them with who assigned them and when they're due.",Executives; Tasks,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Project Status Check,"What's the current status of the [project or initiative name] plan? Find the latest emails, Teams discussions, and shared documents related to this initiative and give me a progress summary.",Executives; Project Management,Copilot Chat; Outlook; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Enterprise Search After Travel,I was traveling for the past week. Find updates and related communications from my team about [initiative or project name]. Include any decisions made while I was out and any open items waiting for my input.,Executives; Search,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Document Finder & Version Check,"Find the most recent version of our [document name, e.g. strategic plan or annual operating plan]. Who last edited it, when, and what were the key changes from the prior version?",Executives; Document Management,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cross-Reference Consistency Check,Compare what we said about [topic] in last quarter's board deck versus what appeared in the most recent update. Are we telling a consistent story?,Executives; Board; Analysis,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),1:1 Meeting Prep,"I have a 1:1 with [NAME] in 30 minutes. Summarize our recent email exchanges, any open action items between us, and what they've been working on based on Teams activity. Suggest two coaching questions I should ask.",Executives; People Management,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Analyst: Company Deep Dive,"Analyze [your company]'s most recent annual report and quarterly earnings. Summarize key revenue trends, margin performance, and strategic priorities highlighted by leadership. Present findings in a table format where possible.",Executives; Finance; Analyst Agent,Analyst Agent,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Analyst: Peer Comparison,"Compare [your company]'s financial performance against [competitor 1] and [competitor 2] across key metrics: revenue growth, gross margin, operating efficiency, and free cash flow. Highlight where we're winning and where we're most vulnerable.",Executives; Finance; Competitive Intelligence,Analyst Agent,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Researcher: Industry Trend Analysis,"Research emerging trends in [your industry] for 2026-2028. Identify consumer behavior shifts, innovation opportunities, and competitive dynamics. For each trend, include: evidence of consumer adoption; which of our brands or product lines is best positioned to respond; competitive moves already made by key players; the strategic implication for our portfolio. Provide sourced findings.",Executives; Research; Strategy,Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Notebook: Competitive Teardown,"Compare [your company]'s latest annual report against key competitors. For each competitor, analyze: revenue scale, growth rate, margin profile, R&D investment, and stated strategic priorities. Where are we winning? Where are we most vulnerable? What's the one move a board member would challenge us to make?",Executives; Competitive Intelligence; Board,Copilot Notebook,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Excel Agent: Business Dashboard,"Using the attached business performance data, build a dashboard showing: revenue trends by product line and region; top-performing and underperforming segments; year-over-year growth rates; key insights the leadership team should discuss at the next quarterly review.",Executives; Finance; Excel,Excel Agent Mode,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Teams Meeting Recap: Decisions & Actions,"Summarize all key decisions made in this meeting, including the rationale behind each. List every action item discussed, specifying the owner, deadline, and expected outcome. Highlight any cross-functional dependencies. Draft a follow-up message for the leadership team that recaps decisions and next steps, ready to send in Teams.",Executives; Meetings,Microsoft Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Decisions & Owners Block,"From this meeting, generate the decisions-and-owners block: decisions made — specific commitments, not themes; action items — named owner, specific next step, due date; open questions we're carrying forward; the one decision we explicitly chose not to make today and when we'll revisit it.",Executives; Meetings,Teams; Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Outlook Inbox Scan & Draft,"Scan my inbox and identify emails that need my reply. For each one, draft a response that's consistent with my communication style. Group them: Focus Now (up to 5 items that need my personal response today), Delegate (I'll forward with a one-liner), and Acknowledge (a simple ""thank you"" or ""noted"" is sufficient). Stage the Focus Now drafts for my review.",Executives; Email Triage,Copilot in Outlook,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Excel Agent: Business Segment Dashboard,"Build a dashboard to visualize our quarterly revenue by business segment. Include total revenue, year-over-year growth rates, and gross margin trends. Add conditional formatting to highlight segments growing faster than 3% and margins above target. Create a chart showing the revenue mix over time.",Executives; Finance; Excel,Excel Agent Mode,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Follow-Up: Executive / Senior Leader,"From today's executive meeting, identify the two most consequential decisions and draft a short note I can send to the board summarizing our direction and rationale. Flag any items that might need board awareness.",Executives; Board,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Follow-Up: Finance Leader,"Extract all financially material commitments from this meeting — budget approvals, spend authorizations, headcount changes, timeline shifts. Draft a finance team follow-up noting what needs to be reflected in our forecast.",Executives; Finance,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Follow-Up: Brand / Marketing Leader,"From this meeting, identify any decisions that affect our brand strategy, promotional calendar, or channel partnerships. Draft follow-up notes to the relevant brand and sales teams.",Executives; Marketing,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Follow-Up: IT / Technology Leader,"Extract all technology-related commitments from this meeting — system changes, integration requests, timeline dependencies, and resource asks. Draft a tech team follow-up with priorities and blockers.",Executives; IT,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Follow-Up: Human Resources Leader,"From this meeting, identify any people-related decisions — organizational changes, hiring approvals, policy updates, or team restructuring. Draft an HR follow-up with compliance considerations noted.",Executives; Human Resources,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Meeting Follow-Up: Operations / Supply Chain Leader,"Extract all operations commitments from this meeting — production changes, supplier actions, logistics adjustments, and capacity decisions. Draft an operations follow-up with timeline and facility impact noted.",Executives; Operations; Supply Chain,Copilot Chat; Teams,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork: Draft & Send Meeting Follow-Ups,"Draft follow-up emails to each person who had an action item from today's meeting. Include their specific commitment, the agreed deadline, and a professional but direct tone. Stage them for my review before sending.",Executives; Cowork; Delegation,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork: Build Executive Summary,"Create a one-page executive summary of the analysis we just completed. Include key findings, recommended actions, and next steps. Save it to my OneDrive for review.",Executives; Cowork; Summarization,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork: Coordinate & Schedule Kickoff,Schedule a 45-minute meeting this week with [names]. The purpose is to kick off the action plan from today's discussion. Draft an agenda based on our conversation and include a Teams link.,Executives; Cowork; Scheduling,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork Role Variant: Executive / Senior Leader,"Review my calendar for this week. For any meeting where I'm the decision-maker, draft a pre-read summary of relevant emails and documents. Stage them in my OneDrive 24 hours before each meeting.",Executives; Cowork; Meeting Prep,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork Role Variant: Finance Leader,Compile the monthly close data from the shared Finance folder. Draft a variance analysis highlighting any department more than 5% over budget. Stage the report for my review.,Executives; Cowork; Finance,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork Role Variant: Brand / Marketing Leader,Draft social media response templates for the top 3 customer questions from this week. Match our brand voice guidelines. Stage them for review.,Executives; Cowork; Marketing,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork Role Variant: IT / Technology Leader,Summarize the open IT support tickets from this week. Group by priority and department. Draft a status update email for the leadership team.,Executives; Cowork; IT,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork Role Variant: Human Resources Leader,"Pull together the quarterly headcount report. Include attrition rates by department, open positions, and time-to-fill metrics. Stage the report for review.",Executives; Cowork; Human Resources,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
emontes07.github.io/Learning,Edgewell ELT Copilot Experience (From Field to Forecast),Cowork Role Variant: Operations / Supply Chain Leader,"Create a weekly operations dashboard summary. Include production metrics, quality incidents, and supply chain updates from this week's reports.",Executives; Cowork; Operations,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/19d-Edgewell-ELT-Copilot-Experience-v4.html
